City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,apodi,-5.6642,-37.7989,31.75,39,100,1.45,BR,1673898632
349,baijiantan,45.6333,85.1833,-23.2,91,5,1.9,CN,1673898632
350,council bluffs,41.2619,-95.8608,5.4,89,100,6.17,US,1673898633
351,jining,35.405,116.5814,-4.5,75,100,2.63,CN,1673898634
352,lagunas,-5.2269,-75.6753,32.54,44,100,1.83,PE,1673898635
353,bonthe,7.5264,-12.505,26.17,78,11,4.08,SL,1673898635
354,honiara,-9.4333,159.95,25.73,85,100,0.38,SB,1673898636
355,berbera,10.4396,45.0143,24.12,72,3,2.94,SO,1673898637
356,segou,13.4317,-6.2157,25.92,12,79,3.37,ML,1673898637
357,iquique,-20.2208,-70.1431,24.02,69,9,1.91,CL,1673898638
358,hamadan,34.7992,48.5146,-11.51,100,100,0.0,IR,1673898638
359,eydhafushi,5.1033,73.0708,27.0,73,8,5.45,MV,1673898639
360,sabzevar,36.2126,57.6819,1.46,46,8,0.33,IR,1673898640
